,Year,State,FIPS,18_or_Older_AMI_Total,Tot_Cases,Toth_Deaths
0,2017,Alabama,1,712000,0,0
1,2017,Alaska,2,94000,0,0
2,2017,Arizona,4,920000,0,0
3,2017,Arkansas,5,441000,0,0
4,2017,California,6,5241000,0,0
5,2017,Colorado,8,710000,0,0
6,2017,Connecticut,9,454000,0,0
7,2017,Delaware,10,136000,0,0
8,2017,District of Columbia,11,102000,0,0
9,2017,Florida,12,2463000,0,0
10,2017,Georgia,13,1365000,0,0
11,2017,Hawaii,15,178000,0,0
12,2017,Idaho,16,244000,0,0
13,2017,Illinois,17,1587000,0,0
14,2017,Indiana,18,993000,0,0
15,2017,Iowa,19,392000,0,0
16,2017,Kansas,20,371000,0,0
17,2017,Kentucky,21,663000,0,0
18,2017,Louisiana,22,678000,0,0
19,2017,Maine,23,217000,0,0
20,2017,Maryland,24,735000,0,0
21,2017,Massachusetts,25,1056000,0,0
22,2017,Michigan,26,1441000,0,0
23,2017,Minnesota,27,806000,0,0
24,2017,Mississippi,28,422000,0,0
25,2017,Missouri,29,862000,0,0
26,2017,Montana,30,154000,0,0
27,2017,Nebraska,31,251000,0,0
28,2017,Nevada,32,392000,0,0
29,2017,New Hampshire,33,217000,0,0
30,2017,New Jersey,34,1106000,0,0
31,2017,New Mexico,35,309000,0,0
32,2017,New York ,36,2684000,0,0
33,2017,North Carolina,37,1429000,0,0
34,2017,North Dakota,38,89000,0,0
35,2017,Ohio,39,1777000,0,0
36,2017,Oklahoma,40,540000,0,0
37,2017,Oregon,41,692000,0,0
38,2017,Pennsylvania,42,1731000,0,0
39,2017,Rhode Island,44,178000,0,0
40,2017,South Carolina,45,636000,0,0
41,2017,South Dakota,46,104000,0,0
42,2017,Tennessee,47,1005000,0,0
43,2017,Texas,48,3229000,0,0
44,2017,Utah,49,417000,0,0
45,2017,Vermont,50,102000,0,0
46,2017,Virginia ,51,1124000,0,0
47,2017,Washington,53,1049000,0,0
48,2017,West Virginia,54,305000,0,0
49,2017,Wisconsin,55,807000,0,0
50,2017,Wyoming,56,83000,0,0
51,2018,Alabama,1,217000,0,0
52,2018,Alaska,2,1056000,0,0
53,2018,Arizona,4,422000,0,0
54,2018,Arkansas,5,217000,0,0
55,2018,California,6,136000,0,0
56,2018,Colorado,8,540000,0,0
57,2018,Connecticut,9,1365000,0,0
58,2018,Delaware,10,154000,0,0
59,2018,District of Columbia,11,371000,0,0
60,2018,Florida,12,710000,0,0
61,2018,Georgia,13,178000,0,0
62,2018,Hawaii,15,712000,0,0
63,2018,Idaho,16,3229000,0,0
64,2018,Illinois,17,920000,0,0
65,2018,Indiana,18,1124000,0,0
66,2018,Iowa,19,102000,0,0
67,2018,Kansas,20,244000,0,0
68,2018,Kentucky,21,305000,0,0
69,2018,Louisiana,22,862000,0,0
70,2018,Maine,23,309000,0,0
71,2018,Maryland,24,5241000,0,0
72,2018,Massachusetts,25,1106000,0,0
73,2018,Michigan,26,735000,0,0
74,2018,Minnesota,27,392000,0,0
75,2018,Mississippi,28,663000,0,0
76,2018,Missouri,29,678000,0,0
77,2018,Montana,30,636000,0,0
78,2018,Nebraska,31,1441000,0,0
79,2018,Nevada,32,392000,0,0
80,2018,New Hampshire,33,83000,0,0
81,2018,New Jersey,34,441000,0,0
82,2018,New Mexico,35,178000,0,0
83,2018,New York ,36,2463000,0,0
84,2018,North Carolina,37,89000,0,0
85,2018,North Dakota,38,454000,0,0
86,2018,Ohio,39,104000,0,0
87,2018,Oklahoma,40,2684000,0,0
88,2018,Oregon,41,807000,0,0
89,2018,Pennsylvania,42,806000,0,0
90,2018,Rhode Island,44,102000,0,0
91,2018,South Carolina,45,1587000,0,0
92,2018,South Dakota,46,993000,0,0
93,2018,Tennessee,47,1731000,0,0
94,2018,Texas,48,94000,0,0
95,2018,Utah,49,417000,0,0
96,2018,Vermont,50,1005000,0,0
97,2018,Virginia ,51,1429000,0,0
98,2018,Washington,53,692000,0,0
99,2018,West Virginia,54,1049000,0,0
100,2018,Wisconsin,55,251000,0,0
101,2018,Wyoming,56,1777000,0,0
102,2019,Alabama,1,680000,0,0
103,2019,Alaska,2,105000,0,0
104,2019,Arizona,4,902000,0,0
105,2019,Arkansas,5,468000,0,0
106,2019,California,6,5072000,0,0
107,2019,Colorado,8,832000,0,0
108,2019,Connecticut,9,500000,0,0
109,2019,Delaware,10,129000,0,0
110,2019,District of Columbia,11,103000,0,0
111,2019,Florida,12,2769000,0,0
112,2019,Georgia,13,1341000,0,0
113,2019,Hawaii,15,165000,0,0
114,2019,Idaho,16,262000,0,0
115,2019,Illinois,17,1526000,0,0
116,2019,Indiana,18,988000,0,0
117,2019,Iowa,19,418000,0,0
118,2019,Kansas,20,387000,0,0
119,2019,Kentucky,21,737000,0,0
120,2019,Louisiana,22,599000,0,0
121,2019,Maine,23,187000,0,0
122,2019,Maryland,24,758000,0,0
123,2019,Massachusetts,25,1034000,0,0
124,2019,Michigan,26,1320000,0,0
125,2019,Minnesota,27,759000,0,0
126,2019,Mississippi,28,385000,0,0
127,2019,Missouri,29,828000,0,0
128,2019,Montana,30,164000,0,0
129,2019,Nebraska,31,258000,0,0
130,2019,Nevada,32,404000,0,0
131,2019,New Hampshire,33,204000,0,0
132,2019,New Jersey,34,1062000,0,0
133,2019,New Mexico,35,298000,0,0
134,2019,New York ,36,2692000,0,0
135,2019,North Carolina,37,1440000,0,0
136,2019,North Dakota,38,97000,0,0
137,2019,Ohio,39,1741000,0,0
138,2019,Oklahoma,40,545000,0,0
139,2019,Oregon,41,714000,0,0
140,2019,Pennsylvania,42,1861000,0,0
141,2019,Rhode Island,44,160000,0,0
142,2019,South Carolina,45,677000,0,0
143,2019,South Dakota,46,113000,0,0
144,2019,Tennessee,47,986000,0,0
145,2019,Texas,48,3196000,0,0
146,2019,Utah,49,464000,0,0
147,2019,Vermont,50,104000,0,0
148,2019,Virginia ,51,1261000,0,0
149,2019,Washington,53,1139000,0,0
150,2019,West Virginia,54,300000,0,0
151,2019,Wisconsin,55,817000,0,0
152,2019,Wyoming,56,85000,0,0
153,2020,Alabama,1,794000,362015,7189
154,2020,Alaska,2,108000,45771,281
155,2020,Arizona,4,1030000,520559,8864
156,2020,Arkansas,5,457000,225138,3676
157,2020,California,6,5566000,2231552,25374
158,2020,Colorado,8,924000,347279,4814
159,2020,Connecticut,9,526000,185708,5995
160,2020,Delaware,10,149000,57512,1127
161,2020,District of Columbia,11,125000,28983,786
162,2020,Florida,12,2889000,1317326,23306
163,2020,Georgia,13,1405000,666452,10934
164,2020,Hawaii,15,185000,21026,286
165,2020,Idaho,16,293000,141077,1436
166,2020,Illinois,17,1754000,963389,17978
167,2020,Indiana,18,1125000,511698,8236
168,2020,Iowa,19,441000,280669,3891
169,2020,Kansas,20,420000,222433,2741
170,2020,Kentucky,21,746000,275018,4861
171,2020,Louisiana,22,715000,315275,7488
172,2020,Maine,23,223000,25924,347
173,2020,Maryland,24,781000,276662,6257
174,2020,Massachusetts,25,1155000,375178,12613
175,2020,Michigan,26,1469000,589728,13816
176,2020,Minnesota,27,819000,415302,5382
177,2020,Mississippi,28,431000,221928,5646
178,2020,Missouri,29,993000,449569,6856
179,2020,Montana,30,163000,81555,961
180,2020,Nebraska,31,257000,167233,1651
181,2020,Nevada,32,474000,224731,3125
182,2020,New Hampshire,33,221000,44028,758
183,2020,New Jersey,34,1112000,527784,19042
184,2020,New Mexico,35,300000,142864,2385
185,2020,New York,36,2802000,548154,12566
186,2020,North Carolina,37,1469000,547683,7925
187,2020,North Dakota,38,108000,92770,1309
188,2020,Ohio,39,1906000,700380,8962
189,2020,Oklahoma,40,592000,325524,4564
190,2020,Oregon,41,731000,113909,1477
191,2020,Pennsylvania,42,1814000,648569,15978
192,2020,Rhode Island,44,178000,85399,1778
193,2020,South Carolina,45,706000,317430,5306
194,2020,South Dakota,46,112000,99164,1488
195,2020,Tennessee,47,937000,576157,6810
196,2020,Texas,48,3347000,1756172,31282
197,2020,Utah,49,550000,276612,1269
198,2020,Vermont,50,104000,6970,145
199,2020,Virginia,51,1115000,354767,5081
200,2020,Washington,53,1269000,244803,3461
201,2020,West Virginia,54,337000,85334,1338
202,2020,Wisconsin,55,859000,520438,5242
203,2020,Wyoming,56,88000,44409,438
204,2021,Alabama,1,794000,904526,16747
205,2021,Alaska,2,113000,151583,947
206,2021,Arizona,4,1099000,1381488,24229
207,2021,Arkansas,5,460000,566486,9148
208,2021,California,6,5864000,5477529,75847
209,2021,Colorado,8,1014000,955270,10271
210,2021,Connecticut,9,531000,510188,9160
211,2021,Delaware,10,157000,178886,2400
212,2021,District of Columbia,11,129000,94286,1211
213,2021,Florida,12,2903000,4249748,63184
214,2021,Georgia,13,1406000,1839879,31443
215,2021,Hawaii,15,187000,109576,1079
216,2021,Idaho,16,311000,319382,4162
217,2021,Illinois,17,1858000,2181009,31017
218,2021,Indiana,18,1129000,1246854,19037
219,2021,Iowa,19,473000,582348,7858
220,2021,Kansas,20,442000,519544,7001
221,2021,Kentucky,21,762000,880163,13063
222,2021,Louisiana,22,734000,828695,14986
223,2021,Maine,23,238000,154173,1531
224,2021,Maryland,24,810000,720888,11875
225,2021,Massachusetts,25,1157000,1140614,20273
226,2021,Michigan,26,1571000,1710271,29019
227,2021,Minnesota,27,876000,1022212,10656
228,2021,Mississippi,28,446000,543737,10450
229,2021,Missouri,29,1056000,1006913,16074
230,2021,Montana,30,171000,197724,2906
231,2021,Nebraska,31,290000,342939,3341
232,2021,Nevada,32,512000,501181,8420
233,2021,New Hampshire,33,243000,198667,1961
234,2021,New Jersey,34,1122000,1564253,29037
235,2021,New Mexico,35,338000,350043,5855
236,2021,New York,36,2972000,1924606,23611
237,2021,North Carolina,37,1532000,1695105,19828
238,2021,North Dakota,38,116000,174626,2012
239,2021,Ohio,39,2112000,2016095,29447
240,2021,Oklahoma,40,657000,708938,11555
241,2021,Oregon,41,783000,421263,5655
242,2021,Pennsylvania,42,1963000,2036424,36705
243,2021,Rhode Island,44,187000,222729,3074
244,2021,South Carolina,45,760000,978154,14675
245,2021,South Dakota,46,118000,179204,2486
246,2021,Tennessee,47,1006000,1425369,20880
247,2021,Texas,48,3602000,4576799,74491
248,2021,Utah,49,599000,636992,3787
249,2021,Vermont,50,112000,60788,453
250,2021,Virginia,51,1199000,1133238,15601
251,2021,Washington,53,1360000,859170,9853
252,2021,West Virginia,54,347000,328162,5336
253,2021,Wisconsin,55,904000,1120669,11173
254,2021,Wyoming,56,98000,115638,1526