,State,FIPS_x,Tot_Cases,Tot_Deaths,18_or_Older_2019,18_to_25_2019,26_or_Older_2019,18_or_Older_2020,18_to_25_2020,26_or_Older_2020,18_or_Older_2021,FIPS_y,18 or Older Estimate_x,18-25 Estimate_x,26 or Older Estimate_x,18 or Older Estimate_y,18-25 Estimate_y,26 or Older Estimate_y,StAbb,<High School,High School,Some college or associates degree,Bachelors degree or higher,Employed_2019,Unemployed_2019,Employed_2020,Unemployed_2020,Employed_2021,Unemployed_2021,Median_Household_Income_2020,Med_HH_Income_Percent_of_State_Total_2020
0,Alabama,1,76993509,406984,794,142,652,797,131,665,794000,1,794,142,652,797,131,665,,438947,1014342,1013673,877044,2199868,72024,2121149,147160,2169721,77272,53958,100
1,Alaska,2,495866086,8946436,113,23,90,117,24,93,108000,2,113,23,90,117,24,93,,33176,137486,167807,144967,333541,19342,318279,28604,332266,22670,79961,100
2,Arizona,4,314253729,4678130,1099,218,882,1339,282,1057,1030000,4,1099,218,882,1339,282,1057,,587919,1151988,1637451,1468698,3265925,166551,3191100,265752,3346319,172106,64652,100
3,Arkansas,5,762685906,12984264,460,84,376,514,98,416,457000,5,460,84,376,514,98,416,,260360,686812,596855,482695,1318465,47325,1274070,82509,1278984,53636,51146,100
4,California,6,3305642241,41363286,5864,1112,4752,6169,1166,5004,5566000,6,5864,1112,4752,6169,1166,5004,,4286538,5431385,7690347,9256873,18612607,796806,16996666,1934450,17541944,1381250,83001,100
5,Colorado,8,499355370,5328084,1014,202,812,1028,200,827,924000,8,1014,202,812,1028,200,827,,308785,827081,1142035,1622853,3019934,80664,2874857,212414,2986711,169399,77688,100
6,Connecticut,9,282636713,6071140,526,110,416,524,109,415,531000,9,526,110,416,524,109,415,,225550,655381,612274,996000,1881688,68661,1749954,147828,1739815,116108,79723,100
7,Delaware,10,48506690,796495,157,28,129,156,27,129,149000,10,157,28,129,156,27,129,,63843,210998,182986,222043,466856,17989,449114,36699,469875,26555,71335,100
8,Florida,12,2202577503,32437927,2903,493,2410,2985,509,2475,2889000,12,2903,493,2410,2985,509,2475,,1751798,4308542,4535040,4659946,9928235,330963,9267151,827727,9843057,469711,61724,100
9,Georgia,13,982508875,16220621,1406,276,1130,1397,258,1139,1405000,13,1406,276,1130,1397,258,1139,,848653,1925374,1969736,2252662,4967503,185441,4751105,328450,4983732,203237,62800,100
10,Hawaii,15,64290688,499260,185,33,152,189,40,149,187000,15,185,33,152,189,40,149,,74875,272031,315028,334489,667914,16776,582979,79512,630187,38226,86878,100
11,Idaho,16,309149461,4293121,293,59,234,333,67,266,311000,16,293,59,234,333,67,266,,100189,305717,411091,328347,862864,26330,848741,48998,884328,32728,62603,100
12,Illinois,17,169225668,1900529,1858,374,1484,2000,381,1619,1754000,17,1858,374,1484,2000,381,1619,,898338,2220409,2482679,3085274,6308535,260280,5781084,585632,5935974,382941,71243,100
13,Indiana,18,1182162104,18390239,1125,222,904,1109,214,895,1129000,18,1125,222,904,1109,214,895,,476425,1482396,1294565,1212794,3282443,111320,3083159,239670,3203166,118382,60794,100
14,Iowa,19,645097145,10341882,441,95,347,503,106,397,473000,19,441,95,347,503,106,397,,158401,647371,681977,617115,1704063,45557,1595824,86433,1605206,70869,62362,100
15,Kansas,20,284373178,3671086,442,89,352,560,111,450,420000,20,442,89,352,560,111,450,,165373,494226,603778,648613,1450705,46812,1408965,84741,1447323,48342,63214,100
16,Kentucky,21,457561503,6468016,762,125,637,742,126,616,746000,21,762,125,637,742,126,616,,389642,990196,895321,759332,1986171,84238,1886999,129803,1941737,95205,54074,100
17,Maine,23,619618704,12658590,238,39,199,234,39,196,223000,23,238,39,199,234,39,196,,66525,307457,289228,319175,682271,19360,641262,33969,650334,31550,59145,100
18,Maryland,24,391423235,7096880,810,167,643,822,178,644,781000,24,810,167,643,822,178,644,,393028,1006008,1062484,1703178,3212155,114342,3012106,215421,2992228,183322,88589,100
19,Massachusetts,25,73002917,763835,1157,233,924,1172,239,933,1155000,25,1157,233,924,1172,239,933,,429794,1133358,1108037,2144142,3714547,117400,3390249,351435,3535478,215392,87288,100
20,Michigan,26,877859662,15943212,1571,306,1265,1729,343,1385,1469000,26,1571,306,1265,1729,343,1385,,596313,1955654,2246576,2055131,4766050,203244,4361873,484140,4495651,280459,61352,100
21,Minnesota,27,526499487,5671785,876,182,694,997,191,806,819000,27,876,182,694,997,191,806,,252331,921198,1230334,1398575,3021984,107860,2925515,197466,2918393,102967,75489,100
22,Mississippi,28,543215972,8000275,446,78,368,465,72,393,431000,28,446,78,368,465,72,393,,291035,596914,643964,451199,1207543,69600,1145211,98304,1184401,69838,47368,100
23,Missouri,29,1921988,7085,1056,195,861,996,195,801,993000,29,1056,195,861,996,195,801,,393045,1275987,1257176,1250584,2976643,95430,2853353,183809,2928368,134081,58812,100
24,Montana,30,303544783,5901062,171,31,140,195,37,158,163000,30,171,31,140,195,37,158,,44228,206206,240758,243496,522898,19381,511616,31301,531202,18541,57730,100
25,Nebraska,31,101041034,1315735,290,65,225,335,68,267,257000,31,290,65,225,335,68,267,,106184,324098,419943,409315,1016904,31916,1001426,43115,1022662,26371,64735,100
26,Nevada,32,934496795,10596145,512,81,431,508,91,417,474000,32,512,81,431,508,91,417,,273999,584698,702126,532997,1479777,61995,1299640,203208,1395939,108822,64608,100
27,New Hampshire,33,94292945,1076789,243,47,196,260,48,212,221000,33,243,47,196,260,48,212,,65455,264953,276069,364685,756267,20204,708566,51204,728940,26482,81415,100
28,New Jersey,34,187137676,1766936,1122,217,905,1251,263,988,1112000,34,1122,217,905,1251,263,988,,600761,1649853,1405825,2513062,4528168,158533,4203278,439667,4365397,295690,87095,100
29,New Mexico,35,97088377,1051385,338,59,279,337,62,275,300000,35,338,59,279,337,62,275,,191076,370125,455809,398288,916149,47655,860105,75601,879329,64027,52285,100
30,New York,36,845572951,19354698,2972,555,2417,2855,549,2306,2802000,36,2972,555,2417,2855,549,2306,,1743890,3474389,3318086,5112792,9502625,377586,8631276,943756,8786280,655178,73354,100
31,North Carolina,37,186267006,3113265,1532,286,1246,1592,313,1280,1469000,37,1532,286,1246,1592,313,1280,,815216,1806403,2201264,2273890,4808270,191540,4505462,343431,4721198,238474,59616,100
32,North Dakota,38,279599806,4410615,116,27,89,118,27,91,108000,38,116,27,89,118,27,91,,34308,129837,180727,152653,406304,8865,390504,21046,391255,14932,64289,100
33,Ohio,39,996860614,14519744,2112,385,1728,2177,379,1798,1906000,39,2112,385,1728,2177,379,1798,,738770,2629870,2330787,2315539,5626326,244922,5263034,471145,5441879,295003,60360,100
34,Oklahoma,40,982566597,15237951,657,131,526,752,153,598,592000,40,657,131,526,752,153,598,,299032,812618,817128,682902,1782686,57513,1721525,114336,1783080,71154,54512,100
35,Oregon,41,397769476,5831460,783,135,647,909,151,759,731000,41,783,135,647,909,151,759,,260785,667341,1003660,1013044,2017379,77598,1944845,159713,2036138,112195,67832,100
36,Pennsylvania,42,226902338,2584834,1963,385,1579,1963,393,1570,1814000,42,1963,385,1579,1963,393,1570,,809967,3072381,2201133,2906517,6266508,294265,5893583,589187,5999442,406743,64898,100
37,Rhode Island,44,1021980759,20109447,187,36,152,202,36,166,178000,44,187,36,152,202,36,166,,80258,207358,194110,259644,552057,20325,514911,52144,538969,32065,73919,100
38,South Carolina,45,124905756,1885076,760,122,639,862,138,724,706000,45,760,122,639,862,138,724,,410334,1014022,1069964,1018306,2256313,64876,2191331,139532,2269813,94553,57216,100
39,South Dakota,46,542466098,7620027,118,27,92,139,29,109,112000,46,118,27,92,139,29,109,,45170,175340,189743,169991,448619,12991,441550,20074,453511,14504,61149,100
40,Tennessee,47,98573052,1358512,1006,194,812,1073,212,861,937000,47,1006,194,812,1073,212,861,,547733,1479648,1313494,1308972,3226045,113498,3055830,243594,3185263,142703,56962,100
41,Texas,48,766478050,10036361,3602,724,2878,3825,886,2939,3347000,48,3602,724,2878,3825,886,2939,,2884734,4559034,5343905,5662178,13381020,490760,12808616,1062258,13413036,807410,66048,100
42,Utah,49,352524756,1870480,599,138,461,675,162,513,550000,49,599,138,461,675,162,513,,131710,425180,663512,648070,1576421,41634,1562799,77627,1636150,45344,77785,100
43,Vermont,50,607772374,8319800,112,22,90,120,23,97,104000,50,112,22,90,120,23,97,,28757,124892,113112,175328,347600,8350,322078,19059,316941,11275,67717,100
44,Virginia,51,30092327,223570,1199,247,951,1331,275,1057,1115000,51,1199,247,951,1331,275,1057,,563601,1392823,1571035,2304490,4332647,123168,4097860,270912,4100803,166853,79154,100
45,Washington,53,473174567,5091797,1360,236,1124,1500,271,1229,1269000,53,1360,236,1124,1500,271,1229,,431403,1133689,1727441,1907238,3764634,169140,3596814,332663,3708738,204775,80319,100
46,West Virginia,54,599293535,5949202,347,55,292,366,54,312,337000,54,347,55,292,366,54,312,,159031,513143,338270,273425,757484,39292,719175,63852,749132,39694,49202,100
47,Wisconsin,55,163540582,2455162,904,180,724,982,200,782,859000,55,904,180,724,982,200,782,,295207,1205321,1255043,1226547,3021491,99099,2909004,196878,3016039,118400,64901,100
48,Wyoming,56,57594682,664090,98,18,80,103,21,82,88000,56,98,18,80,103,21,82,,25201,112183,144736,110699,283377,11003,276739,16983,277372,13032,67284,100
