,Year,State,FIPS,18_or_Older_AMI_Total,Tot_Cases,Toth_Deaths,<High School,High School,Some college or associates degree,Bachelors degree or higher,Civilian_labor_force_2017,Employed_2017,Unemployed_2017,Unemployment_rate_2017,Civilian_labor_force_2018,Employed_2018,Unemployed_2018,Unemployment_rate_2018,Civilian_labor_force_2019,Employed_2019,Unemployed_2019,Unemployment_rate_2019,Civilian_labor_force_2020,Employed_2020,Unemployed_2020,Unemployment_rate_2020,Civilian_labor_force_2021,Employed_2021,Unemployed_2021,Unemployment_rate_2021,Median_Household_Income_2020,Med_HH_Income_Percent_of_State_Total_2020
0,2017,Alabama,1,712000,0,0,438947,1014342,1013673,877044,2203458,2103873,99585,4.5,2240477,2153080,87397,3.9,2271892,2199868,72024,3.2,2268309,2121149,147160,6.5,2246993,2169721,77272,3.4,53958,100
1,2018,Alabama,1,217000,0,0,438947,1014342,1013673,877044,2203458,2103873,99585,4.5,2240477,2153080,87397,3.9,2271892,2199868,72024,3.2,2268309,2121149,147160,6.5,2246993,2169721,77272,3.4,53958,100
2,2019,Alabama,1,680000,0,0,438947,1014342,1013673,877044,2203458,2103873,99585,4.5,2240477,2153080,87397,3.9,2271892,2199868,72024,3.2,2268309,2121149,147160,6.5,2246993,2169721,77272,3.4,53958,100
3,2020,Alabama,1,794000,362015,7189,438947,1014342,1013673,877044,2203458,2103873,99585,4.5,2240477,2153080,87397,3.9,2271892,2199868,72024,3.2,2268309,2121149,147160,6.5,2246993,2169721,77272,3.4,53958,100
4,2021,Alabama,1,794000,904526,16747,438947,1014342,1013673,877044,2203458,2103873,99585,4.5,2240477,2153080,87397,3.9,2271892,2199868,72024,3.2,2268309,2121149,147160,6.5,2246993,2169721,77272,3.4,53958,100
5,2017,Alaska,2,94000,0,0,33176,137486,167807,144967,360589,337108,23481,6.5,355452,334241,21211,6,352883,333541,19342,5.5,346883,318279,28604,8.2,354936,332266,22670,6.4,79961,100
6,2018,Alaska,2,1056000,0,0,33176,137486,167807,144967,360589,337108,23481,6.5,355452,334241,21211,6,352883,333541,19342,5.5,346883,318279,28604,8.2,354936,332266,22670,6.4,79961,100
7,2019,Alaska,2,105000,0,0,33176,137486,167807,144967,360589,337108,23481,6.5,355452,334241,21211,6,352883,333541,19342,5.5,346883,318279,28604,8.2,354936,332266,22670,6.4,79961,100
8,2020,Alaska,2,108000,45771,281,33176,137486,167807,144967,360589,337108,23481,6.5,355452,334241,21211,6,352883,333541,19342,5.5,346883,318279,28604,8.2,354936,332266,22670,6.4,79961,100
9,2021,Alaska,2,113000,151583,947,33176,137486,167807,144967,360589,337108,23481,6.5,355452,334241,21211,6,352883,333541,19342,5.5,346883,318279,28604,8.2,354936,332266,22670,6.4,79961,100
10,2017,Arizona,4,920000,0,0,587919,1151988,1637451,1468698,3240111,3079700,160411,5,3328189,3168469,159720,4.8,3432476,3265925,166551,4.9,3456852,3191100,265752,7.7,3518425,3346319,172106,4.9,64652,100
11,2018,Arizona,4,422000,0,0,587919,1151988,1637451,1468698,3240111,3079700,160411,5,3328189,3168469,159720,4.8,3432476,3265925,166551,4.9,3456852,3191100,265752,7.7,3518425,3346319,172106,4.9,64652,100
12,2019,Arizona,4,902000,0,0,587919,1151988,1637451,1468698,3240111,3079700,160411,5,3328189,3168469,159720,4.8,3432476,3265925,166551,4.9,3456852,3191100,265752,7.7,3518425,3346319,172106,4.9,64652,100
13,2020,Arizona,4,1030000,520559,8864,587919,1151988,1637451,1468698,3240111,3079700,160411,5,3328189,3168469,159720,4.8,3432476,3265925,166551,4.9,3456852,3191100,265752,7.7,3518425,3346319,172106,4.9,64652,100
14,2021,Arizona,4,1099000,1381488,24229,587919,1151988,1637451,1468698,3240111,3079700,160411,5,3328189,3168469,159720,4.8,3432476,3265925,166551,4.9,3456852,3191100,265752,7.7,3518425,3346319,172106,4.9,64652,100
15,2017,Arkansas,5,441000,0,0,260360,686812,596855,482695,1348088,1297854,50234,3.7,1351686,1302629,49057,3.6,1365790,1318465,47325,3.5,1356579,1274070,82509,6.1,1332620,1278984,53636,4,51146,100
16,2018,Arkansas,5,217000,0,0,260360,686812,596855,482695,1348088,1297854,50234,3.7,1351686,1302629,49057,3.6,1365790,1318465,47325,3.5,1356579,1274070,82509,6.1,1332620,1278984,53636,4,51146,100
17,2019,Arkansas,5,468000,0,0,260360,686812,596855,482695,1348088,1297854,50234,3.7,1351686,1302629,49057,3.6,1365790,1318465,47325,3.5,1356579,1274070,82509,6.1,1332620,1278984,53636,4,51146,100
18,2020,Arkansas,5,457000,225138,3676,260360,686812,596855,482695,1348088,1297854,50234,3.7,1351686,1302629,49057,3.6,1365790,1318465,47325,3.5,1356579,1274070,82509,6.1,1332620,1278984,53636,4,51146,100
19,2021,Arkansas,5,460000,566486,9148,260360,686812,596855,482695,1348088,1297854,50234,3.7,1351686,1302629,49057,3.6,1365790,1318465,47325,3.5,1356579,1274070,82509,6.1,1332620,1278984,53636,4,51146,100
20,2017,California,6,5241000,0,0,4286538,5431385,7690347,9256873,19185366,18258064,927302,4.8,19289507,18468143,821364,4.3,19409413,18612607,796806,4.1,18931116,16996666,1934450,10.2,18923194,17541944,1381250,7.3,83001,100
21,2018,California,6,136000,0,0,4286538,5431385,7690347,9256873,19185366,18258064,927302,4.8,19289507,18468143,821364,4.3,19409413,18612607,796806,4.1,18931116,16996666,1934450,10.2,18923194,17541944,1381250,7.3,83001,100
22,2019,California,6,5072000,0,0,4286538,5431385,7690347,9256873,19185366,18258064,927302,4.8,19289507,18468143,821364,4.3,19409413,18612607,796806,4.1,18931116,16996666,1934450,10.2,18923194,17541944,1381250,7.3,83001,100
23,2020,California,6,5566000,2231552,25374,4286538,5431385,7690347,9256873,19185366,18258064,927302,4.8,19289507,18468143,821364,4.3,19409413,18612607,796806,4.1,18931116,16996666,1934450,10.2,18923194,17541944,1381250,7.3,83001,100
24,2021,California,6,5864000,5477529,75847,4286538,5431385,7690347,9256873,19185366,18258064,927302,4.8,19289507,18468143,821364,4.3,19409413,18612607,796806,4.1,18931116,16996666,1934450,10.2,18923194,17541944,1381250,7.3,83001,100
25,2017,Colorado,8,710000,0,0,308785,827081,1142035,1622853,2963790,2885980,77810,2.6,3049640,2957690,91950,3,3100598,3019934,80664,2.6,3087271,2874857,212414,6.9,3156110,2986711,169399,5.4,77688,100
26,2018,Colorado,8,540000,0,0,308785,827081,1142035,1622853,2963790,2885980,77810,2.6,3049640,2957690,91950,3,3100598,3019934,80664,2.6,3087271,2874857,212414,6.9,3156110,2986711,169399,5.4,77688,100
27,2019,Colorado,8,832000,0,0,308785,827081,1142035,1622853,2963790,2885980,77810,2.6,3049640,2957690,91950,3,3100598,3019934,80664,2.6,3087271,2874857,212414,6.9,3156110,2986711,169399,5.4,77688,100
28,2020,Colorado,8,924000,347279,4814,308785,827081,1142035,1622853,2963790,2885980,77810,2.6,3049640,2957690,91950,3,3100598,3019934,80664,2.6,3087271,2874857,212414,6.9,3156110,2986711,169399,5.4,77688,100
29,2021,Colorado,8,1014000,955270,10271,308785,827081,1142035,1622853,2963790,2885980,77810,2.6,3049640,2957690,91950,3,3100598,3019934,80664,2.6,3087271,2874857,212414,6.9,3156110,2986711,169399,5.4,77688,100
30,2017,Connecticut,9,454000,0,0,225550,655381,612274,996000,1923711,1838833,84878,4.4,1931495,1855969,75526,3.9,1950349,1881688,68661,3.5,1897782,1749954,147828,7.8,1855923,1739815,116108,6.3,79723,100
31,2018,Connecticut,9,1365000,0,0,225550,655381,612274,996000,1923711,1838833,84878,4.4,1931495,1855969,75526,3.9,1950349,1881688,68661,3.5,1897782,1749954,147828,7.8,1855923,1739815,116108,6.3,79723,100
32,2019,Connecticut,9,500000,0,0,225550,655381,612274,996000,1923711,1838833,84878,4.4,1931495,1855969,75526,3.9,1950349,1881688,68661,3.5,1897782,1749954,147828,7.8,1855923,1739815,116108,6.3,79723,100
33,2020,Connecticut,9,526000,185708,5995,225550,655381,612274,996000,1923711,1838833,84878,4.4,1931495,1855969,75526,3.9,1950349,1881688,68661,3.5,1897782,1749954,147828,7.8,1855923,1739815,116108,6.3,79723,100
34,2021,Connecticut,9,531000,510188,9160,225550,655381,612274,996000,1923711,1838833,84878,4.4,1931495,1855969,75526,3.9,1950349,1881688,68661,3.5,1897782,1749954,147828,7.8,1855923,1739815,116108,6.3,79723,100
35,2017,Delaware,10,136000,0,0,63843,210998,182986,222043,475214,453949,21265,4.5,480154,462143,18011,3.8,484845,466856,17989,3.7,485813,449114,36699,7.6,496430,469875,26555,5.3,71335,100
36,2018,Delaware,10,154000,0,0,63843,210998,182986,222043,475214,453949,21265,4.5,480154,462143,18011,3.8,484845,466856,17989,3.7,485813,449114,36699,7.6,496430,469875,26555,5.3,71335,100
37,2019,Delaware,10,129000,0,0,63843,210998,182986,222043,475214,453949,21265,4.5,480154,462143,18011,3.8,484845,466856,17989,3.7,485813,449114,36699,7.6,496430,469875,26555,5.3,71335,100
38,2020,Delaware,10,149000,57512,1127,63843,210998,182986,222043,475214,453949,21265,4.5,480154,462143,18011,3.8,484845,466856,17989,3.7,485813,449114,36699,7.6,496430,469875,26555,5.3,71335,100
39,2021,Delaware,10,157000,178886,2400,63843,210998,182986,222043,475214,453949,21265,4.5,480154,462143,18011,3.8,484845,466856,17989,3.7,485813,449114,36699,7.6,496430,469875,26555,5.3,71335,100
40,2017,Florida,12,2463000,0,0,1751798,4308542,4535040,4659946,9972990,9544892,428098,4.3,10107191,9734029,373162,3.7,10259198,9928235,330963,3.2,10094878,9267151,827727,8.2,10312768,9843057,469711,4.6,61724,100
41,2018,Florida,12,710000,0,0,1751798,4308542,4535040,4659946,9972990,9544892,428098,4.3,10107191,9734029,373162,3.7,10259198,9928235,330963,3.2,10094878,9267151,827727,8.2,10312768,9843057,469711,4.6,61724,100
42,2019,Florida,12,2769000,0,0,1751798,4308542,4535040,4659946,9972990,9544892,428098,4.3,10107191,9734029,373162,3.7,10259198,9928235,330963,3.2,10094878,9267151,827727,8.2,10312768,9843057,469711,4.6,61724,100
43,2020,Florida,12,2889000,1317326,23306,1751798,4308542,4535040,4659946,9972990,9544892,428098,4.3,10107191,9734029,373162,3.7,10259198,9928235,330963,3.2,10094878,9267151,827727,8.2,10312768,9843057,469711,4.6,61724,100
44,2021,Florida,12,2903000,4249748,63184,1751798,4308542,4535040,4659946,9972990,9544892,428098,4.3,10107191,9734029,373162,3.7,10259198,9928235,330963,3.2,10094878,9267151,827727,8.2,10312768,9843057,469711,4.6,61724,100
45,2017,Georgia,13,1365000,0,0,848653,1925374,1969736,2252662,5107889,4864813,243076,4.8,5121172,4915713,205459,4,5152944,4967503,185441,3.6,5079555,4751105,328450,6.5,5186969,4983732,203237,3.9,62800,100
46,2018,Georgia,13,178000,0,0,848653,1925374,1969736,2252662,5107889,4864813,243076,4.8,5121172,4915713,205459,4,5152944,4967503,185441,3.6,5079555,4751105,328450,6.5,5186969,4983732,203237,3.9,62800,100
47,2019,Georgia,13,1341000,0,0,848653,1925374,1969736,2252662,5107889,4864813,243076,4.8,5121172,4915713,205459,4,5152944,4967503,185441,3.6,5079555,4751105,328450,6.5,5186969,4983732,203237,3.9,62800,100
48,2020,Georgia,13,1405000,666452,10934,848653,1925374,1969736,2252662,5107889,4864813,243076,4.8,5121172,4915713,205459,4,5152944,4967503,185441,3.6,5079555,4751105,328450,6.5,5186969,4983732,203237,3.9,62800,100
49,2021,Georgia,13,1406000,1839879,31443,848653,1925374,1969736,2252662,5107889,4864813,243076,4.8,5121172,4915713,205459,4,5152944,4967503,185441,3.6,5079555,4751105,328450,6.5,5186969,4983732,203237,3.9,62800,100
50,2017,Hawaii,15,178000,0,0,74875,272031,315028,334489,695303,679865,15438,2.2,691982,675681,16301,2.4,684690,667914,16776,2.5,662491,582979,79512,12,668413,630187,38226,5.7,86878,100
51,2018,Hawaii,15,712000,0,0,74875,272031,315028,334489,695303,679865,15438,2.2,691982,675681,16301,2.4,684690,667914,16776,2.5,662491,582979,79512,12,668413,630187,38226,5.7,86878,100
52,2019,Hawaii,15,165000,0,0,74875,272031,315028,334489,695303,679865,15438,2.2,691982,675681,16301,2.4,684690,667914,16776,2.5,662491,582979,79512,12,668413,630187,38226,5.7,86878,100
53,2020,Hawaii,15,185000,21026,286,74875,272031,315028,334489,695303,679865,15438,2.2,691982,675681,16301,2.4,684690,667914,16776,2.5,662491,582979,79512,12,668413,630187,38226,5.7,86878,100
54,2021,Hawaii,15,187000,109576,1079,74875,272031,315028,334489,695303,679865,15438,2.2,691982,675681,16301,2.4,684690,667914,16776,2.5,662491,582979,79512,12,668413,630187,38226,5.7,86878,100
55,2017,Idaho,16,244000,0,0,100189,305717,411091,328347,839776,812875,26901,3.2,862513,837514,24999,2.9,889194,862864,26330,3,897739,848741,48998,5.5,917056,884328,32728,3.6,62603,100
56,2018,Idaho,16,3229000,0,0,100189,305717,411091,328347,839776,812875,26901,3.2,862513,837514,24999,2.9,889194,862864,26330,3,897739,848741,48998,5.5,917056,884328,32728,3.6,62603,100
57,2019,Idaho,16,262000,0,0,100189,305717,411091,328347,839776,812875,26901,3.2,862513,837514,24999,2.9,889194,862864,26330,3,897739,848741,48998,5.5,917056,884328,32728,3.6,62603,100
58,2020,Idaho,16,293000,141077,1436,100189,305717,411091,328347,839776,812875,26901,3.2,862513,837514,24999,2.9,889194,862864,26330,3,897739,848741,48998,5.5,917056,884328,32728,3.6,62603,100
59,2021,Idaho,16,311000,319382,4162,100189,305717,411091,328347,839776,812875,26901,3.2,862513,837514,24999,2.9,889194,862864,26330,3,897739,848741,48998,5.5,917056,884328,32728,3.6,62603,100
60,2017,Illinois,17,1587000,0,0,898338,2220409,2482679,3085274,6562291,6237933,324358,4.9,6568208,6281764,286444,4.4,6568815,6308535,260280,4,6366716,5781084,585632,9.2,6318915,5935974,382941,6.1,71243,100
61,2018,Illinois,17,920000,0,0,898338,2220409,2482679,3085274,6562291,6237933,324358,4.9,6568208,6281764,286444,4.4,6568815,6308535,260280,4,6366716,5781084,585632,9.2,6318915,5935974,382941,6.1,71243,100
62,2019,Illinois,17,1526000,0,0,898338,2220409,2482679,3085274,6562291,6237933,324358,4.9,6568208,6281764,286444,4.4,6568815,6308535,260280,4,6366716,5781084,585632,9.2,6318915,5935974,382941,6.1,71243,100
63,2020,Illinois,17,1754000,963389,17978,898338,2220409,2482679,3085274,6562291,6237933,324358,4.9,6568208,6281764,286444,4.4,6568815,6308535,260280,4,6366716,5781084,585632,9.2,6318915,5935974,382941,6.1,71243,100
64,2021,Illinois,17,1858000,2181009,31017,898338,2220409,2482679,3085274,6562291,6237933,324358,4.9,6568208,6281764,286444,4.4,6568815,6308535,260280,4,6366716,5781084,585632,9.2,6318915,5935974,382941,6.1,71243,100
65,2017,Indiana,18,993000,0,0,476425,1482396,1294565,1212794,3333693,3217049,116644,3.5,3385707,3270727,114980,3.4,3393763,3282443,111320,3.3,3322829,3083159,239670,7.2,3321548,3203166,118382,3.6,60794,100
66,2018,Indiana,18,1124000,0,0,476425,1482396,1294565,1212794,3333693,3217049,116644,3.5,3385707,3270727,114980,3.4,3393763,3282443,111320,3.3,3322829,3083159,239670,7.2,3321548,3203166,118382,3.6,60794,100
67,2019,Indiana,18,988000,0,0,476425,1482396,1294565,1212794,3333693,3217049,116644,3.5,3385707,3270727,114980,3.4,3393763,3282443,111320,3.3,3322829,3083159,239670,7.2,3321548,3203166,118382,3.6,60794,100
68,2020,Indiana,18,1125000,511698,8236,476425,1482396,1294565,1212794,3333693,3217049,116644,3.5,3385707,3270727,114980,3.4,3393763,3282443,111320,3.3,3322829,3083159,239670,7.2,3321548,3203166,118382,3.6,60794,100
69,2021,Indiana,18,1129000,1246854,19037,476425,1482396,1294565,1212794,3333693,3217049,116644,3.5,3385707,3270727,114980,3.4,3393763,3282443,111320,3.3,3322829,3083159,239670,7.2,3321548,3203166,118382,3.6,60794,100
70,2017,Iowa,19,392000,0,0,158401,647371,681977,617115,1697495,1645660,51835,3.1,1714951,1671631,43320,2.5,1749620,1704063,45557,2.6,1682257,1595824,86433,5.1,1676075,1605206,70869,4.2,62362,100
71,2018,Iowa,19,102000,0,0,158401,647371,681977,617115,1697495,1645660,51835,3.1,1714951,1671631,43320,2.5,1749620,1704063,45557,2.6,1682257,1595824,86433,5.1,1676075,1605206,70869,4.2,62362,100
72,2019,Iowa,19,418000,0,0,158401,647371,681977,617115,1697495,1645660,51835,3.1,1714951,1671631,43320,2.5,1749620,1704063,45557,2.6,1682257,1595824,86433,5.1,1676075,1605206,70869,4.2,62362,100
73,2020,Iowa,19,441000,280669,3891,158401,647371,681977,617115,1697495,1645660,51835,3.1,1714951,1671631,43320,2.5,1749620,1704063,45557,2.6,1682257,1595824,86433,5.1,1676075,1605206,70869,4.2,62362,100
74,2021,Iowa,19,473000,582348,7858,158401,647371,681977,617115,1697495,1645660,51835,3.1,1714951,1671631,43320,2.5,1749620,1704063,45557,2.6,1682257,1595824,86433,5.1,1676075,1605206,70869,4.2,62362,100
75,2017,Kansas,20,371000,0,0,165373,494226,603778,648613,1488346,1434516,53830,3.6,1488027,1439329,48698,3.3,1497517,1450705,46812,3.1,1493706,1408965,84741,5.7,1495665,1447323,48342,3.2,63214,100
76,2018,Kansas,20,244000,0,0,165373,494226,603778,648613,1488346,1434516,53830,3.6,1488027,1439329,48698,3.3,1497517,1450705,46812,3.1,1493706,1408965,84741,5.7,1495665,1447323,48342,3.2,63214,100
77,2019,Kansas,20,387000,0,0,165373,494226,603778,648613,1488346,1434516,53830,3.6,1488027,1439329,48698,3.3,1497517,1450705,46812,3.1,1493706,1408965,84741,5.7,1495665,1447323,48342,3.2,63214,100
78,2020,Kansas,20,420000,222433,2741,165373,494226,603778,648613,1488346,1434516,53830,3.6,1488027,1439329,48698,3.3,1497517,1450705,46812,3.1,1493706,1408965,84741,5.7,1495665,1447323,48342,3.2,63214,100
